"","Conference","MAE"
"2","ACC",15.8868436292887
"3","American",14.653649266962
"4","Big 12",18.8927869082021
"5","Big Ten",15.2667306322652
"6","C-USA",13.7841390530781
"7","FBS Independent",35
"8","Independent",25.0819267041444
"9","MAC",15.3765463826417
"10","Mountain West",16.8012555440411
"11","Pac-12",13.8431588564335
