Year,Season,Week,Ranking,College
2017,2017-18,9,11,Washington
2017,2017-18,9,12,Oklahoma State
2017,2017-18,9,13,Virginia Tech
2017,2017-18,9,14,South Florida
2017,2017-18,9,15,NC State
2017,2017-18,9,16,Washington State
2017,2017-18,9,17,UCF
2017,2017-18,9,18,Michigan State
2017,2017-18,9,19,Auburn
2017,2017-18,9,20,Stanford
2017,2017-18,9,21,USC
2017,2017-18,9,22,West Virginia
2017,2017-18,9,23,LSU
2017,2017-18,9,24,Texas A&M
2017,2017-18,9,25,Michigan
2017,2017-18,10,1,Alabama
2017,2017-18,10,2,Georgia
2017,2017-18,10,3,Ohio State
2017,2017-18,10,4,Wisconsin
2017,2017-18,10,5,Clemson
2017,2017-18,10,6,Miami
2017,2017-18,10,7,Penn State
2017,2017-18,10,8,Notre Dame
2017,2017-18,10,9,Oklahoma
2017,2017-18,10,10,Oklahoma State
2017,2017-18,10,11,Washington
2017,2017-18,10,12,TCU
2017,2017-18,10,13,Virginia Tech
2017,2017-18,10,14,UCF
2017,2017-18,10,15,Auburn
2017,2017-18,10,16,Iowa State
2017,2017-18,10,17,USC
2017,2017-18,10,18,Stanford
2017,2017-18,10,19,NC State
2017,2017-18,10,20,LSU
2017,2017-18,10,21,Memphis
2017,2017-18,10,22,Mississippi State
2017,2017-18,10,23,South Florida
2017,2017-18,10,24,Michigan
2017,2017-18,10,25,Arizona
2017,2017-18,11,1,Alabama
2017,2017-18,11,2,Georgia
2017,2017-18,11,3,Wisconsin
2017,2017-18,11,4,Clemson
2017,2017-18,11,5,Notre Dame
2017,2017-18,11,6,Miami
2017,2017-18,11,7,Oklahoma
2017,2017-18,11,8,Washington
2017,2017-18,11,9,TCU
2017,2017-18,11,10,Auburn
2017,2017-18,11,11,Ohio State
2017,2017-18,11,12,UCF
2017,2017-18,11,13,Penn State
2017,2017-18,11,14,USC
2017,2017-18,11,15,Oklahoma State
2017,2017-18,11,16,Michigan State
2017,2017-18,11,17,Virginia Tech
2017,2017-18,11,18,Mississippi State
2017,2017-18,11,19,Memphis
2017,2017-18,11,20,Washington State
2017,2017-18,11,21,South Florida
2017,2017-18,11,22,Michigan
2017,2017-18,11,23,Iowa State
2017,2017-18,11,24,NC State
2017,2017-18,11,25,LSU
2017,2017-18,12,1,Alabama
2017,2017-18,12,2,Miami
2017,2017-18,12,3,Clemson
2017,2017-18,12,4,Wisconsin
2017,2017-18,12,5,Oklahoma
2017,2017-18,12,6,Auburn
2017,2017-18,12,7,Georgia
2017,2017-18,12,8,Ohio State
2017,2017-18,12,9,Notre Dame
2017,2017-18,12,10,USC
2017,2017-18,12,11,Penn State
2017,2017-18,12,12,UCF
2017,2017-18,12,13,Oklahoma State
2017,2017-18,12,14,TCU
2017,2017-18,12,15,Washington
2017,2017-18,12,16,Washington State
2017,2017-18,12,17,Memphis
2017,2017-18,12,18,Michigan
2017,2017-18,12,19,Mississippi State
2017,2017-18,12,20,South Florida
2017,2017-18,12,21,LSU
2017,2017-18,12,22,NC State
2017,2017-18,12,23,Stanford
2017,2017-18,12,24,Michigan State
2017,2017-18,12,25,West Virginia
2017,2017-18,13,1,Alabama
2017,2017-18,13,2,Miami
2017,2017-18,13,3,Clemson
2017,2017-18,13,4,Wisconsin
2017,2017-18,13,5,Oklahoma
2017,2017-18,13,6,Auburn
2017,2017-18,13,7,Georgia
2017,2017-18,13,8,Ohio State
2017,2017-18,13,9,Notre Dame
2017,2017-18,13,10,USC
2017,2017-18,13,11,Penn State
2017,2017-18,13,12,UCF
2017,2017-18,13,13,TCU
2017,2017-18,13,14,Washington
2017,2017-18,13,15,Washington State
2017,2017-18,13,16,Memphis
2017,2017-18,13,17,Mississippi State
2017,2017-18,13,18,LSU
2017,2017-18,13,19,South Florida
2017,2017-18,13,20,Stanford
2017,2017-18,13,21,Oklahoma State
2017,2017-18,13,22,Michigan State
2017,2017-18,13,23,Northwestern
2017,2017-18,13,24,Boise State
2017,2017-18,13,25,Virginia Tech
2017,2017-18,14,1,Clemson
2017,2017-18,14,2,Oklahoma
2017,2017-18,14,3,Wisconsin
2017,2017-18,14,4,Auburn
2017,2017-18,14,5,Alabama
2017,2017-18,14,6,Georgia
2017,2017-18,14,7,Miami
2017,2017-18,14,7,Ohio State
2017,2017-18,14,9,USC
2017,2017-18,14,10,Penn State
2017,2017-18,14,11,UCF
2017,2017-18,14,12,TCU
2017,2017-18,14,13,Washington
2017,2017-18,14,14,Memphis
2017,2017-18,14,15,Stanford
2017,2017-18,14,16,LSU
2017,2017-18,14,17,Notre Dame
2017,2017-18,14,18,Oklahoma State
2017,2017-18,14,19,Michigan State
2017,2017-18,14,20,Northwestern
2017,2017-18,14,21,Virginia Tech
2017,2017-18,14,22,Washington State
2017,2017-18,14,23,South Florida
2017,2017-18,14,24,Mississippi State
2017,2017-18,14,25,San Diego State
2017,2017-18,15,1,Clemson
2017,2017-18,15,2,Oklahoma
2017,2017-18,15,3,Georgia
2017,2017-18,15,4,Alabama
2017,2017-18,15,5,Ohio State
2017,2017-18,15,6,Wisconsin
2017,2017-18,15,7,Auburn
2017,2017-18,15,8,USC
2017,2017-18,15,9,Penn State
2017,2017-18,15,10,Miami
2017,2017-18,15,11,Washington
2017,2017-18,15,12,UCF
2017,2017-18,15,13,Stanford
2017,2017-18,15,14,Notre Dame
2017,2017-18,15,15,TCU
2017,2017-18,15,16,Michigan State
2017,2017-18,15,17,LSU
2017,2017-18,15,18,Washington State
2017,2017-18,15,19,Oklahoma State
2017,2017-18,15,20,Memphis
2017,2017-18,15,21,Northwestern
2017,2017-18,15,22,Virginia Tech
2017,2017-18,15,23,Mississippi State
2017,2017-18,15,24,NC State
2017,2017-18,15,25,Boise State
2018,2018-19,1,1,Alabama
2018,2018-19,1,2,Clemson
2018,2018-19,1,3,Ohio State
2018,2018-19,1,4,Georgia
2018,2018-19,1,5,Oklahoma
2018,2018-19,1,6,Washington
2018,2018-19,1,7,Wisconsin
2018,2018-19,1,8,Miami
2018,2018-19,1,9,Penn State
2018,2018-19,1,10,Auburn
2018,2018-19,1,11,Notre Dame
2018,2018-19,1,12,Michigan State
2018,2018-19,1,13,Stanford
2018,2018-19,1,14,Michigan
2018,2018-19,1,15,USC
2018,2018-19,1,16,TCU
2018,2018-19,1,17,Virginia Tech
2018,2018-19,1,18,Mississippi State
2018,2018-19,1,19,Florida State
2018,2018-19,1,20,West Virginia
2018,2018-19,1,21,Texas
2018,2018-19,1,22,Boise State
2018,2018-19,1,23,UCF
2018,2018-19,1,24,LSU
2018,2018-19,1,25,Oklahoma State
2018,2018-19,2,1,Alabama
2018,2018-19,2,2,Clemson
2018,2018-19,2,3,Georgia
2018,2018-19,2,4,Ohio State
2018,2018-19,2,5,Oklahoma
2018,2018-19,2,6,Wisconsin
2018,2018-19,2,7,Auburn
2018,2018-19,2,8,Notre Dame
2018,2018-19,2,9,Stanford
2018,2018-19,2,10,Penn State
2018,2018-19,2,11,Washington
2018,2018-19,2,12,USC
2018,2018-19,2,13,Michigan State
2018,2018-19,2,14,Virginia Tech
2018,2018-19,2,15,LSU
2018,2018-19,2,16,TCU
2018,2018-19,2,17,West Virginia
2018,2018-19,2,18,Mississippi State
2018,2018-19,2,19,Boise State
2018,2018-19,2,20,UCF
2018,2018-19,2,21,Miami
2018,2018-19,2,22,Michigan
2018,2018-19,2,23,Oklahoma State
2018,2018-19,2,24,South Carolina
2018,2018-19,2,25,Florida
2018,2018-19,3,1,Alabama
2018,2018-19,3,2,Clemson
2018,2018-19,3,3,Georgia
2018,2018-19,3,4,Ohio State
2018,2018-19,3,5,Oklahoma
2018,2018-19,3,6,Wisconsin
2018,2018-19,3,7,Auburn
2018,2018-19,3,8,Notre Dame
2018,2018-19,3,9,Stanford
2018,2018-19,3,10,Penn State
2018,2018-19,3,11,Virginia Tech
2018,2018-19,3,12,Washington
2018,2018-19,3,13,LSU
2018,2018-19,3,14,TCU
2018,2018-19,3,15,West Virginia
2018,2018-19,3,16,Mississippi State
2018,2018-19,3,17,Boise State
2018,2018-19,3,18,UCF
2018,2018-19,3,19,Oklahoma State
2018,2018-19,3,20,Miami
2018,2018-19,3,21,USC
2018,2018-19,3,22,Michigan
2018,2018-19,3,23,Oregon
2018,2018-19,3,24,Michigan State
2018,2018-19,3,25,Arizona State
2018,2018-19,4,1,Alabama
2018,2018-19,4,2,Clemson
2018,2018-19,4,3,Georgia
2018,2018-19,4,4,Ohio State
2018,2018-19,4,5,Oklahoma
2018,2018-19,4,6,LSU
2018,2018-19,4,7,Stanford
2018,2018-19,4,8,Notre Dame
2018,2018-19,4,9,Penn State
2018,2018-19,4,10,Virginia Tech
2018,2018-19,4,11,Auburn
2018,2018-19,4,12,Washington
2018,2018-19,4,13,West Virginia
2018,2018-19,4,14,Mississippi State
2018,2018-19,4,15,Oklahoma State
2018,2018-19,4,16,Wisconsin
2018,2018-19,4,17,TCU
2018,2018-19,4,18,UCF
2018,2018-19,4,19,Oregon
2018,2018-19,4,20,Miami
2018,2018-19,4,21,Michigan
2018,2018-19,4,22,Texas A&M
2018,2018-19,4,23,Michigan State
2018,2018-19,4,24,Boise State
2018,2018-19,4,25,Boston College
2018,2018-19,5,1,Alabama
2018,2018-19,5,2,Clemson
2018,2018-19,5,3,Georgia
2018,2018-19,5,4,Ohio State
2018,2018-19,5,5,Oklahoma
2018,2018-19,5,6,LSU
2018,2018-19,5,7,Stanford
2018,2018-19,5,8,Notre Dame
2018,2018-19,5,9,Penn State
2018,2018-19,5,10,Auburn
2018,2018-19,5,11,Washington
2018,2018-19,5,12,West Virginia
2018,2018-19,5,13,Wisconsin
2018,2018-19,5,14,UCF
2018,2018-19,5,15,Michigan
2018,2018-19,5,16,Miami
2018,2018-19,5,17,Kentucky
2018,2018-19,5,18,Michigan State
2018,2018-19,5,19,Mississippi State
2018,2018-19,5,20,Oregon
2018,2018-19,5,21,Oklahoma State
2018,2018-19,5,22,Texas
2018,2018-19,5,23,Duke
2018,2018-19,5,24,Virginia Tech
2018,2018-19,5,25,Boise State
2018,2018-19,6,1,Alabama
2018,2018-19,6,2,Georgia
2018,2018-19,6,3,Ohio State
2018,2018-19,6,4,Clemson
2018,2018-19,6,5,Oklahoma
2018,2018-19,6,6,LSU
2018,2018-19,6,7,Notre Dame
2018,2018-19,6,8,West Virginia
2018,2018-19,6,9,Auburn
2018,2018-19,6,10,Washington
2018,2018-19,6,11,Penn State
2018,2018-19,6,12,Wisconsin
2018,2018-19,6,13,UCF
2018,2018-19,6,14,Stanford
2018,2018-19,6,15,Kentucky
2018,2018-19,6,16,Michigan
2018,2018-19,6,17,Miami
2018,2018-19,6,18,Oregon
2018,2018-19,6,19,Michigan State
2018,2018-19,6,20,Texas
2018,2018-19,6,21,Oklahoma State
2018,2018-19,6,22,Colorado
2018,2018-19,6,23,Virginia Tech
2018,2018-19,6,24,Boise State
2018,2018-19,6,25,NC State
2018,2018-19,7,1,Alabama
2018,2018-19,7,2,Georgia
2018,2018-19,7,3,Ohio State
2018,2018-19,7,4,Clemson
2018,2018-19,7,5,Notre Dame
2018,2018-19,7,6,West Virginia
2018,2018-19,7,7,Washington
2018,2018-19,7,8,Penn State
2018,2018-19,7,9,UCF
2018,2018-19,7,10,Wisconsin
2018,2018-19,7,11,Oklahoma
2018,2018-19,7,12,LSU
2018,2018-19,7,13,Michigan
2018,2018-19,7,14,Texas
2018,2018-19,7,15,Miami
2018,2018-19,7,16,Florida
2018,2018-19,7,17,Oregon
2018,2018-19,7,18,Colorado
2018,2018-19,7,19,NC State
2018,2018-19,7,20,Kentucky
2018,2018-19,7,21,Auburn
2018,2018-19,7,22,Texas A&M
2018,2018-19,7,23,South Florida
2018,2018-19,7,24,Stanford
2018,2018-19,7,25,Cincinnati
2018,2018-19,8,1,Alabama
2018,2018-19,8,2,Ohio State
2018,2018-19,8,3,Clemson
2018,2018-19,8,4,Notre Dame
2018,2018-19,8,5,LSU
2018,2018-19,8,6,Georgia
2018,2018-19,8,7,Michigan
2018,2018-19,8,8,Texas
2018,2018-19,8,9,UCF
2018,2018-19,8,10,Oklahoma
2018,2018-19,8,11,Oregon
2018,2018-19,8,12,Florida
2018,2018-19,8,13,West Virginia
2018,2018-19,8,14,Washington
2018,2018-19,8,15,NC State
2018,2018-19,8,16,Penn State
2018,2018-19,8,17,Kentucky
2018,2018-19,8,18,Texas A&M
2018,2018-19,8,19,Wisconsin
2018,2018-19,8,20,South Florida
2018,2018-19,8,21,Cincinnati
2018,2018-19,8,22,Iowa
2018,2018-19,8,23,Washington State
2018,2018-19,8,24,Stanford
2018,2018-19,8,25,Colorado
2018,2018-19,9,1,Alabama
2018,2018-19,9,2,Clemson
2018,2018-19,9,3,Notre Dame
2018,2018-19,9,4,LSU
2018,2018-19,9,5,Michigan
2018,2018-19,9,6,Georgia
2018,2018-19,9,7,Texas
2018,2018-19,9,8,Oklahoma
2018,2018-19,9,9,Ohio State
2018,2018-19,9,10,UCF
2018,2018-19,9,11,Florida
2018,2018-19,9,12,West Virginia
2018,2018-19,9,13,Washington
2018,2018-19,9,14,Kentucky
2018,2018-19,9,15,Washington State
2018,2018-19,9,16,Penn State
2018,2018-19,9,17,Texas A&M
2018,2018-19,9,18,Iowa
2018,2018-19,9,19,Wisconsin
2018,2018-19,9,20,South Florida
2018,2018-19,9,21,Oregon
2018,2018-19,9,22,NC State
2018,2018-19,9,23,Stanford
2018,2018-19,9,24,Utah
2018,2018-19,9,25,Miami
2018,2018-19,10,1,Alabama
2018,2018-19,10,2,Clemson
2018,2018-19,10,3,Notre Dame
2018,2018-19,10,4,LSU
2018,2018-19,10,5,Georgia
2018,2018-19,10,5,Michigan
2018,2018-19,10,7,Oklahoma
2018,2018-19,10,8,Ohio State
2018,2018-19,10,9,UCF
2018,2018-19,10,10,West Virginia
2018,2018-19,10,11,Washington State
2018,2018-19,10,12,Kentucky
2018,2018-19,10,13,Penn State
2018,2018-19,10,14,Florida
2018,2018-19,10,15,Texas
2018,2018-19,10,16,Utah
2018,2018-19,10,17,Houston
2018,2018-19,10,18,Iowa
2018,2018-19,10,19,Washington
2018,2018-19,10,20,Utah State
2018,2018-19,10,21,Mississippi State
2018,2018-19,10,22,Virginia
2018,2018-19,10,23,Fresno State
2018,2018-19,10,24,Syracuse
2018,2018-19,10,25,Boston College
2018,2018-19,11,1,Alabama
2018,2018-19,11,2,Clemson
2018,2018-19,11,3,Notre Dame
2018,2018-19,11,4,Michigan
2018,2018-19,11,5,Georgia
2018,2018-19,11,6,Oklahoma
2018,2018-19,11,7,Ohio State
2018,2018-19,11,8,West Virginia
2018,2018-19,11,9,Washington State
2018,2018-19,11,10,LSU
2018,2018-19,11,11,UCF
2018,2018-19,11,12,Kentucky
2018,2018-19,11,13,Syracuse
2018,2018-19,11,14,Boston College
2018,2018-19,11,15,Mississippi State
2018,2018-19,11,16,Utah State
2018,2018-19,11,17,Fresno State
2018,2018-19,11,18,Washington
2018,2018-19,11,19,Texas
2018,2018-19,11,20,Penn State
2018,2018-19,11,21,Florida
2018,2018-19,11,22,NC State
2018,2018-19,11,23,Cincinnati
2018,2018-19,11,24,Utah
2018,2018-19,11,25,Iowa State
2018,2018-19,12,1,Alabama
2018,2018-19,12,2,Clemson
2018,2018-19,12,3,Notre Dame
2018,2018-19,12,4,Michigan
2018,2018-19,12,5,Georgia
2018,2018-19,12,6,Oklahoma
2018,2018-19,12,7,West Virginia
2018,2018-19,12,8,Ohio State
2018,2018-19,12,9,Washington State
2018,2018-19,12,10,LSU
2018,2018-19,12,11,UCF
2018,2018-19,12,12,Syracuse
2018,2018-19,12,13,Utah State
2018,2018-19,12,14,Texas
2018,2018-19,12,15,Penn State
2018,2018-19,12,16,Florida
2018,2018-19,12,17,Washington
2018,2018-19,12,18,Iowa State
2018,2018-19,12,19,Utah
2018,2018-19,12,20,Cincinnati
2018,2018-19,12,21,Kentucky
2018,2018-19,12,22,Boston College
2018,2018-19,12,23,Mississippi State
2018,2018-19,12,24,Boise State
2018,2018-19,12,25,UAB
2018,2018-19,13,1,Alabama
2018,2018-19,13,2,Clemson
2018,2018-19,13,3,Notre Dame
2018,2018-19,13,4,Michigan
2018,2018-19,13,5,Georgia
2018,2018-19,13,6,Oklahoma
2018,2018-19,13,7,Washington State
2018,2018-19,13,8,LSU
2018,2018-19,13,9,UCF
2018,2018-19,13,10,Ohio State
2018,2018-19,13,11,Texas
2018,2018-19,13,12,West Virginia
2018,2018-19,13,13,Florida
2018,2018-19,13,14,Penn State
2018,2018-19,13,15,Utah State
2018,2018-19,13,16,Washington
2018,2018-19,13,17,Utah
2018,2018-19,13,18,Kentucky
2018,2018-19,13,19,Syracuse
2018,2018-19,13,20,Mississippi State
2018,2018-19,13,21,Northwestern
2018,2018-19,13,22,Boise State
2018,2018-19,13,23,Fresno State
2018,2018-19,13,24,Army
2018,2018-19,13,25,Pittsburgh
2018,2018-19,14,1,Alabama
2018,2018-19,14,2,Clemson
2018,2018-19,14,3,Notre Dame
2018,2018-19,14,4,Georgia
2018,2018-19,14,5,Oklahoma
2018,2018-19,14,6,Ohio State
2018,2018-19,14,7,Michigan
2018,2018-19,14,8,UCF
2018,2018-19,14,9,Florida
2018,2018-19,14,10,LSU
2018,2018-19,14,11,Washington
2018,2018-19,14,12,Penn State
2018,2018-19,14,13,Washington State
2018,2018-19,14,14,Texas
2018,2018-19,14,15,Kentucky
2018,2018-19,14,16,West Virginia
2018,2018-19,14,17,Utah
2018,2018-19,14,18,Mississippi State
2018,2018-19,14,19,Texas A&M
2018,2018-19,14,20,Syracuse
2018,2018-19,14,21,Northwestern
2018,2018-19,14,22,Boise State
2018,2018-19,14,23,Iowa State
2018,2018-19,14,24,Missouri
2018,2018-19,14,25,Fresno State
2018,2018-19,15,1,Alabama
2018,2018-19,15,2,Clemson
2018,2018-19,15,3,Notre Dame
2018,2018-19,15,4,Oklahoma
2018,2018-19,15,5,Georgia
2018,2018-19,15,6,Ohio State
2018,2018-19,15,7,Michigan
2018,2018-19,15,8,UCF
2018,2018-19,15,9,Washington
2018,2018-19,15,10,Florida
2018,2018-19,15,11,LSU
2018,2018-19,15,12,Penn State
2018,2018-19,15,13,Washington State
2018,2018-19,15,14,Kentucky
2018,2018-19,15,15,Texas
2018,2018-19,15,16,West Virginia
2018,2018-19,15,17,Utah
2018,2018-19,15,18,Mississippi State
2018,2018-19,15,19,Texas A&M
2018,2018-19,15,20,Syracuse
2018,2018-19,15,21,Fresno State
2018,2018-19,15,22,Northwestern
2018,2018-19,15,23,Missouri
2018,2018-19,15,24,Iowa State
2018,2018-19,15,25,Boise State
