"","Conference","MAE"
"2","ACC",13.8775090066907
"3","American",13.6642764015645
"4","Big 12",18.0760683760684
"5","Big Ten",14.0728744939271
"6","C-USA",12.2454751131222
"7","Independent",13.5610766045549
"8","MAC",12.3802296964725
"9","Mountain West",12.8636165577342
"10","Pac-12",13.0096899224806
"11","SEC",14.3282619162253
"12","Sun Belt",12.5286815068493
