School,Opponent,Date,Season,AtHome,NeutralLocation,Score,OppScore,Total,Outcome,Spread,Season.Type,GameNumber,PassCmp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,XPM,XPA,XPPercent,FGM,FGA,FGPercent,KickPts,Fum,Int,TotalTO,SeasonRanking
Western Michigan,Buffalo,2016-11-19,2016-17,1,0,38,0,38,W,38,Regular,11,29,37,78.4,445,4,34,181,5.3,1,5,5,100.0,1,2,50.0,8,1,0,1,19.6
Wyoming,San Diego State,2016-11-19,2016-17,1,0,34,33,67,W,1,Regular,11,16,31,51.6,282,2,53,205,3.9,2,4,4,100.0,2,2,100.0,10,0,1,1,-1.0
Boise State,Nevada-Las Vegas,2016-11-18,2016-17,1,0,42,25,67,W,17,Regular,11,10,21,47.6,109,0,47,271,5.8,6,6,6,100.0,0,1,0.0,6,1,0,1,18.875
Houston,Louisville,2016-11-17,2016-17,1,0,36,10,46,W,26,Regular,11,27,46,58.7,298,3,33,64,1.9,1,4,4,100.0,2,2,100.0,10,0,0,0,11.4
Eastern Michigan,Northern Illinois,2016-11-16,2016-17,1,0,24,31,55,L,-7,Regular,11,17,38,44.7,184,1,56,291,5.2,2,3,3,100.0,1,2,50.0,6,0,2,2,-1.0
Toledo,Ball State,2016-11-16,2016-17,1,0,37,19,56,W,18,Regular,11,25,39,64.1,325,3,32,179,5.6,0,4,4,100.0,3,3,100.0,13,0,1,1,-1.0
Central Michigan,Ohio,2016-11-15,2016-17,1,0,27,20,47,W,7,Regular,11,25,32,78.1,268,2,31,18,0.6,1,3,3,100.0,2,2,100.0,9,1,0,1,-1.0
Alabama,Mississippi State,2016-11-12,2016-17,1,0,51,3,54,W,48,Regular,10,31,41,75.6,397,5,31,218,7.0,1,6,6,100.0,3,3,100.0,15,1,1,2,1.0
Arizona,Colorado,2016-11-12,2016-17,1,0,24,49,73,L,-25,Regular,10,12,26,46.2,155,0,52,257,4.9,3,3,3,100.0,1,4,25.0,6,1,0,1,-1.0
Arkansas,Louisiana State,2016-11-12,2016-17,1,0,10,38,48,L,-28,Regular,10,15,31,48.4,210,1,24,81,3.4,0,1,1,100.0,1,1,100.0,4,1,2,3,20.0
Arkansas State,New Mexico State,2016-11-12,2016-17,1,0,41,22,63,W,19,Regular,9,22,29,75.9,293,3,38,160,4.2,2,5,6,83.3,0,1,0.0,5,0,1,1,-1.0
Brigham Young,Southern Utah,2016-11-12,2016-17,1,0,37,7,44,W,30,Regular,10,33,42,78.6,441,2,40,155,3.9,2,4,4,100.0,3,5,60.0,13,2,1,3,-1.0
Buffalo,Miami (OH),2016-11-12,2016-17,1,0,24,35,59,L,-11,Regular,10,21,40,52.5,193,0,46,187,4.1,2,3,3,100.0,1,2,50.0,6,1,1,2,-1.0
East Carolina,Southern Methodist,2016-11-12,2016-17,1,0,31,55,86,L,-24,Regular,10,29,49,59.2,314,1,32,152,4.8,3,4,4,100.0,1,1,100.0,7,2,3,5,-1.0
Florida,South Carolina,2016-11-12,2016-17,1,0,20,7,27,W,13,Regular,9,17,21,81.0,201,2,37,171,4.6,0,2,2,100.0,2,2,100.0,8,2,1,3,17.0
Florida Atlantic,Texas-El Paso,2016-11-12,2016-17,1,0,35,31,66,W,4,Regular,10,20,27,74.1,233,1,36,243,6.8,3,3,3,100.0,2,2,100.0,9,1,2,3,-1.0
Georgia,Auburn,2016-11-12,2016-17,1,0,13,7,20,W,6,Regular,10,20,33,60.6,208,0,43,135,3.1,0,1,1,100.0,2,3,66.7,7,0,1,1,13.8
Georgia State,Louisiana-Monroe,2016-11-12,2016-17,1,0,23,37,60,L,-14,Regular,10,19,30,63.3,422,3,26,42,1.6,0,2,2,100.0,1,2,50.0,5,0,0,0,-1.0
Hawaii,Boise State,2016-11-12,2016-17,1,0,16,52,68,L,-36,Regular,11,16,32,50.0,125,1,32,234,7.3,0,1,1,100.0,3,3,100.0,10,1,1,2,-1.0
Indiana,Penn State,2016-11-12,2016-17,1,0,31,45,76,L,-14,Regular,10,24,41,58.5,344,2,41,110,2.7,2,4,4,100.0,1,1,100.0,7,5,0,5,-1.0
Kansas,Iowa State,2016-11-12,2016-17,1,0,24,31,55,L,-7,Regular,10,26,38,68.4,171,1,40,244,6.1,2,3,3,100.0,1,2,50.0,6,1,1,2,-1.0
Louisiana Tech,Texas-San Antonio,2016-11-12,2016-17,1,0,63,35,98,W,28,Regular,11,17,27,63.0,293,4,30,180,6.0,3,9,9,100.0,0,1,0.0,9,0,0,0,-1.0
Louisville,Wake Forest,2016-11-12,2016-17,1,0,44,12,56,W,32,Regular,10,14,26,53.8,145,1,37,346,9.4,4,5,5,100.0,1,2,50.0,8,3,0,3,9.066666666666666
Wisconsin,Minnesota,2016-11-26,2016-17,1,0,31,17,48,W,14,Regular,12,13,22,59.1,152,0,47,210,4.5,4,4,4,100.0,1,1,100.0,7,1,0,1,9.285714285714286
Air Force,Boise State,2016-11-25,2016-17,1,0,27,20,47,W,7,Regular,12,3,6,50.0,45,0,77,314,4.1,2,3,3,100.0,2,2,100.0,9,0,1,1,-1.0
Bowling Green State,Buffalo,2016-11-25,2016-17,1,0,27,19,46,W,8,Regular,12,12,21,57.1,146,0,67,346,5.2,3,3,3,100.0,2,2,100.0,9,2,0,2,-1.0
Kent State,Northern Illinois,2016-11-25,2016-17,1,0,21,31,52,L,-10,Regular,12,14,37,37.8,203,2,29,188,6.5,1,3,3,100.0,0,2,0.0,3,0,1,1,-1.0
Memphis,Houston,2016-11-25,2016-17,1,0,48,44,92,W,4,Regular,12,30,45,66.7,409,4,34,146,4.3,2,6,6,100.0,2,2,100.0,12,0,0,0,-1.0
Southern Mississippi,Louisiana Tech,2016-11-25,2016-17,1,0,39,24,63,W,15,Regular,12,29,33,87.9,342,3,44,84,1.9,2,3,4,75.0,2,2,100.0,9,1,0,1,-1.0
Tulsa,Cincinnati,2016-11-25,2016-17,1,0,40,37,77,W,3,Regular,12,25,39,64.1,305,3,65,306,4.7,2,4,4,100.0,2,2,100.0,10,1,2,3,-1.0
Washington State,Washington,2016-11-25,2016-17,1,0,17,45,62,L,-28,Regular,12,33,50,66.0,269,1,24,65,2.7,1,2,2,100.0,1,1,100.0,5,1,3,4,22.75
Western Michigan,Toledo,2016-11-25,2016-17,1,0,55,35,90,W,20,Regular,12,19,25,76.0,196,3,48,249,5.2,3,7,7,100.0,2,2,100.0,13,0,0,0,19.6
Texas A&M,Louisiana State,2016-11-24,2016-17,1,0,39,54,93,L,-15,Regular,12,17,38,44.7,284,3,33,188,5.7,2,2,2,100.0,1,1,100.0,5,1,0,1,13.166666666666666
Eastern Michigan,Central Michigan,2016-11-22,2016-17,1,0,26,21,47,W,5,Regular,12,26,37,70.3,355,2,32,183,5.7,1,2,2,100.0,2,3,66.7,8,0,1,1,-1.0
Miami (OH),Ball State,2016-11-22,2016-17,1,0,21,20,41,W,1,Regular,12,26,35,74.3,380,3,25,62,2.5,0,3,3,100.0,0,1,0.0,3,0,0,0,-1.0
Alabama,Chattanooga,2016-11-19,2016-17,1,0,31,3,34,W,28,Regular,11,15,21,71.4,136,3,37,196,5.3,1,4,4,100.0,1,1,100.0,7,1,0,1,1.0
Army,Morgan State,2016-11-19,2016-17,1,0,60,3,63,W,57,Regular,11,3,8,37.5,57,1,60,504,8.4,7,5,5,100.0,1,1,100.0,8,2,0,2,-1.0
Auburn,Alabama A&M,2016-11-19,2016-17,1,0,55,0,55,W,55,Regular,11,14,20,70.0,147,1,59,451,7.6,6,7,7,100.0,2,3,66.7,13,1,0,1,15.75
Boston College,Connecticut,2016-11-19,2016-17,1,0,30,0,30,W,30,Regular,11,14,19,73.7,183,1,52,154,3.0,1,3,3,100.0,3,3,100.0,12,0,0,0,-1.0
Brigham Young,Massachusetts,2016-11-19,2016-17,1,0,51,9,60,W,42,Regular,11,20,34,58.8,184,1,49,247,5.0,4,6,6,100.0,3,3,100.0,15,1,0,1,-1.0
California,Stanford,2016-11-19,2016-17,1,0,31,45,76,L,-14,Regular,11,34,57,59.6,393,2,24,90,3.8,2,4,4,100.0,1,2,50.0,7,0,0,0,-1.0
Charlotte,Middle Tennessee State,2016-11-19,2016-17,1,0,31,38,69,L,-7,Regular,11,22,50,44.0,239,1,45,164,3.6,3,2,3,66.7,1,2,50.0,5,0,0,0,-1.0
Colorado,Washington State,2016-11-19,2016-17,1,0,38,24,62,W,14,Regular,11,27,41,65.9,345,0,59,258,4.4,5,5,5,100.0,1,2,50.0,8,1,0,1,15.125
East Carolina,Navy,2016-11-19,2016-17,1,0,31,66,97,L,-35,Regular,11,16,25,64.0,238,3,25,176,7.0,1,4,4,100.0,1,1,100.0,7,1,0,1,-1.0
Florida Atlantic,Old Dominion,2016-11-19,2016-17,1,0,24,42,66,L,-18,Regular,11,15,28,53.6,219,0,34,144,4.2,3,3,3,100.0,1,2,50.0,6,0,0,0,-1.0
Florida International,Marshall,2016-11-19,2016-17,1,0,31,14,45,W,17,Regular,11,18,25,72.0,257,1,41,259,6.3,3,4,4,100.0,1,2,50.0,7,0,2,2,-1.0
Fresno State,Hawaii,2016-11-19,2016-17,1,0,13,14,27,L,-1,Regular,11,13,23,56.5,108,0,52,214,4.1,1,1,1,100.0,2,3,66.7,7,0,0,0,-1.0
Georgia State,Georgia Southern,2016-11-19,2016-17,1,0,30,24,54,W,6,Regular,11,21,39,53.8,318,2,27,73,2.7,2,3,4,75.0,1,2,50.0,6,0,0,0,-1.0
Georgia Tech,Virginia,2016-11-19,2016-17,1,0,31,17,48,W,14,Regular,11,5,10,50.0,122,1,31,199,6.4,2,4,4,100.0,1,1,100.0,7,0,0,0,-1.0
Iowa State,Texas Tech,2016-11-19,2016-17,1,0,66,10,76,W,56,Regular,11,17,22,77.3,336,2,43,272,6.3,6,9,9,100.0,1,1,100.0,12,0,0,0,-1.0
Kansas,Texas,2016-11-19,2016-17,1,0,24,21,45,W,3,Regular,11,21,42,50.0,220,0,39,112,2.9,1,1,1,100.0,3,3,100.0,10,1,1,2,-1.0
Louisiana State,Florida,2016-11-19,2016-17,1,0,10,16,26,L,-6,Regular,10,14,26,53.8,204,0,45,219,4.9,1,1,1,100.0,1,1,100.0,4,2,0,2,18.5
Michigan,Indiana,2016-11-19,2016-17,1,0,20,10,30,W,10,Regular,11,7,16,43.8,59,0,50,225,4.5,2,2,2,100.0,2,2,100.0,8,0,0,0,4.533333333333333
Michigan State,Ohio State,2016-11-19,2016-17,1,0,16,17,33,L,-1,Regular,11,8,21,38.1,127,1,35,207,5.9,1,1,1,100.0,1,1,100.0,4,0,2,2,10.2
Minnesota,Northwestern,2016-11-19,2016-17,1,0,29,12,41,W,17,Regular,11,14,25,56.0,197,1,40,131,3.3,2,2,3,66.7,3,3,100.0,11,1,1,2,-1.0
Mississippi State,Arkansas,2016-11-19,2016-17,1,0,42,58,100,L,-16,Regular,11,23,33,69.7,328,2,35,205,5.9,4,4,4,100.0,0,1,0.0,4,0,0,0,-1.0
Nebraska,Maryland,2016-11-19,2016-17,1,0,28,7,35,W,21,Regular,11,23,37,62.2,220,1,45,181,4.0,3,4,4,100.0,0,1,0.0,4,0,0,0,14.090909090909092
Nevada,Utah State,2016-11-19,2016-17,1,0,38,37,75,W,1,Regular,11,13,26,50.0,127,1,50,214,4.3,3,5,5,100.0,1,1,100.0,8,1,0,1,-1.0
New Mexico State,Texas State,2016-11-19,2016-17,1,0,50,10,60,W,40,Regular,10,23,38,60.5,231,5,44,252,5.7,1,5,6,83.3,3,3,100.0,14,1,0,1,-1.0
North Carolina,Citadel,2016-11-19,2016-17,1,0,41,7,48,W,34,Regular,11,12,21,57.1,193,3,26,163,6.3,0,5,5,100.0,2,3,66.7,11,0,0,0,19.88888888888889
North Carolina State,Miami (FL),2016-11-19,2016-17,1,0,13,27,40,L,-14,Regular,11,20,44,45.5,210,0,29,119,4.1,1,1,1,100.0,2,2,100.0,7,1,1,2,-1.0
North Texas,Southern Mississippi,2016-11-19,2016-17,1,0,29,23,52,W,6,Regular,11,14,29,48.3,267,2,29,111,3.8,1,3,3,100.0,2,2,100.0,9,2,1,3,-1.0
Notre Dame,Virginia Tech,2016-11-19,2016-17,1,0,31,34,65,L,-3,Regular,11,17,34,50.0,249,2,36,200,5.6,2,4,4,100.0,1,1,100.0,7,0,0,0,16.0
Texas State,Arkansas State,2016-12-03,2016-17,1,0,14,36,50,L,-22,Regular,12,14,27,51.9,120,1,46,117,2.5,1,2,2,100.0,0,1,0.0,2,0,2,2,-1.0
West Virginia,Baylor,2016-12-03,2016-17,1,0,24,21,45,W,3,Regular,12,10,26,38.5,111,2,62,311,5.0,1,3,3,100.0,1,3,33.3,6,0,0,0,14.0
Western Kentucky,Louisiana Tech,2016-12-03,2016-17,1,1,58,44,102,W,14,Regular,13,21,31,67.7,421,3,41,235,5.7,4,7,7,100.0,3,4,75.0,16,2,1,3,-1.0
Wyoming,San Diego State,2016-12-03,2016-17,1,0,24,27,51,L,-3,Regular,13,14,31,45.2,248,3,31,95,3.1,0,3,3,100.0,1,2,50.0,6,1,2,3,-1.0
Alabama,Auburn,2016-11-26,2016-17,1,0,30,12,42,W,18,Regular,12,28,37,75.7,298,2,44,203,4.6,1,3,3,100.0,3,3,100.0,12,0,2,2,1.0
Brigham Young,Utah State,2016-11-26,2016-17,1,0,28,10,38,W,18,Regular,12,11,22,50.0,106,2,54,249,4.6,1,4,4,100.0,0,1,0.0,4,0,2,2,-1.0
California,UCLA,2016-11-26,2016-17,1,0,36,10,46,W,26,Regular,12,32,48,66.7,301,2,54,195,3.6,1,3,3,100.0,5,5,100.0,18,0,0,0,-1.0
Clemson,South Carolina,2016-11-26,2016-17,1,0,56,7,63,W,49,Regular,12,30,36,83.3,372,6,53,250,4.7,2,8,8,100.0,0,1,0.0,8,0,1,1,2.8666666666666667
Colorado,Utah,2016-11-26,2016-17,1,0,27,22,49,W,5,Regular,12,23,44,52.3,270,1,38,108,2.8,1,3,3,100.0,2,2,100.0,9,2,0,2,15.125
Connecticut,Tulane,2016-11-26,2016-17,1,0,13,38,51,L,-25,Regular,12,15,31,48.4,124,1,24,184,7.7,1,1,1,100.0,0,1,0.0,1,2,2,4,-1.0
Florida State,Florida,2016-11-26,2016-17,1,0,31,13,44,W,18,Regular,12,15,26,57.7,138,1,40,249,6.2,3,4,4,100.0,1,3,33.3,7,2,1,3,12.666666666666666
Georgia,Georgia Tech,2016-11-26,2016-17,1,0,27,28,55,L,-1,Regular,12,14,28,50.0,139,1,42,263,6.3,2,3,3,100.0,2,3,66.7,9,0,2,2,13.8
Hawaii,Massachusetts,2016-11-26,2016-17,1,0,46,40,86,W,6,Regular,13,22,31,71.0,311,5,33,168,5.1,1,5,6,83.3,1,1,100.0,8,1,0,1,-1.0
Idaho,South Alabama,2016-11-26,2016-17,1,0,38,31,69,W,7,Regular,11,17,34,50.0,231,2,35,176,5.0,3,5,5,100.0,1,1,100.0,8,0,3,3,-1.0
Indiana,Purdue,2016-11-26,2016-17,1,0,26,24,50,W,2,Regular,12,11,22,50.0,117,1,54,152,2.8,2,2,3,66.7,2,2,100.0,8,0,4,4,-1.0
Iowa State,West Virginia,2016-11-26,2016-17,1,0,19,49,68,L,-30,Regular,12,23,44,52.3,371,0,34,190,5.6,0,1,1,100.0,4,4,100.0,13,3,1,4,-1.0
Kansas State,Kansas,2016-11-26,2016-17,1,0,34,19,53,W,15,Regular,11,6,11,54.5,99,0,58,342,5.9,4,4,5,80.0,0,1,0.0,4,1,0,1,-1.0
Louisville,Kentucky,2016-11-26,2016-17,1,0,38,41,79,L,-3,Regular,12,16,25,64.0,281,2,46,280,6.1,3,5,5,100.0,1,1,100.0,8,1,3,4,9.066666666666666
Maryland,Rutgers,2016-11-26,2016-17,1,0,31,13,44,W,18,Regular,12,9,16,56.3,96,0,45,318,7.1,3,4,4,100.0,1,3,33.3,7,0,0,0,-1.0
Miami (FL),Duke,2016-11-26,2016-17,1,0,40,21,61,W,19,Regular,12,22,35,62.9,396,4,30,172,5.7,0,4,4,100.0,4,4,100.0,16,0,0,0,17.0
Ohio State,Michigan,2016-11-26,2016-17,1,0,30,27,57,W,3,Regular,12,15,32,46.9,124,0,50,206,4.1,3,3,3,100.0,1,3,33.3,6,0,1,1,-1.0
Mississippi,Mississippi State,2016-11-26,2016-17,1,0,20,55,75,L,-35,Regular,12,27,48,56.3,320,2,38,208,5.5,0,2,2,100.0,2,2,100.0,8,0,2,2,16.75
Penn State,Michigan State,2016-11-26,2016-17,1,0,45,12,57,W,33,Regular,12,18,24,75.0,386,4,33,77,2.3,2,6,6,100.0,1,1,100.0,9,0,0,0,11.333333333333334
San Diego State,Colorado State,2016-11-26,2016-17,1,0,31,63,94,L,-32,Regular,12,11,19,57.9,183,2,38,195,5.1,2,4,4,100.0,1,1,100.0,7,1,1,2,24.5
Southern Methodist,Navy,2016-11-26,2016-17,1,0,31,75,106,L,-44,Regular,12,31,46,67.4,331,2,37,96,2.6,2,4,4,100.0,1,2,50.0,7,0,2,2,-1.0
South Florida,Central Florida,2016-11-26,2016-17,1,0,48,31,79,W,17,Regular,12,17,26,65.4,152,0,48,351,7.3,5,6,6,100.0,2,3,66.7,12,1,0,1,23.0
Stanford,Rice,2016-11-26,2016-17,1,0,41,17,58,W,24,Regular,12,12,18,66.7,161,2,43,373,8.7,3,5,5,100.0,2,2,100.0,11,0,0,0,10.0
Temple,East Carolina,2016-11-26,2016-17,1,0,37,10,47,W,27,Regular,12,12,20,60.0,158,0,46,256,5.6,5,4,5,80.0,1,1,100.0,7,0,0,0,24.0
Nevada-Las Vegas,Nevada,2016-11-26,2016-17,1,0,10,45,55,L,-35,Regular,12,9,22,40.9,121,0,34,182,5.4,1,1,1,100.0,1,1,100.0,4,0,1,1,-1.0
Southern California,Notre Dame,2016-11-26,2016-17,1,0,45,27,72,W,18,Regular,12,19,30,63.3,205,2,38,207,5.4,1,6,6,100.0,1,1,100.0,9,1,0,1,13.6
Texas-El Paso,North Texas,2016-11-26,2016-17,1,0,52,24,76,W,28,Regular,12,12,18,66.7,171,2,40,384,9.6,4,7,7,100.0,1,1,100.0,10,1,0,1,-1.0
Texas-San Antonio,Charlotte,2016-11-26,2016-17,1,0,33,14,47,W,19,Regular,12,23,40,57.5,414,3,45,106,2.4,1,3,3,100.0,2,3,66.7,9,1,0,1,-1.0
Vanderbilt,Tennessee,2016-11-26,2016-17,1,0,45,34,79,W,11,Regular,12,21,35,60.0,416,2,38,192,5.1,4,6,6,100.0,1,1,100.0,9,0,1,1,-1.0
Virginia Tech,Virginia,2016-11-26,2016-17,1,0,52,10,62,W,42,Regular,12,18,30,60.0,290,3,51,289,5.7,3,7,7,100.0,1,2,50.0,10,2,0,2,21.166666666666668
Wake Forest,Boston College,2016-11-26,2016-17,1,0,14,17,31,L,-3,Regular,12,16,33,48.5,137,2,35,150,4.3,0,2,2,100.0,0,2,0.0,2,1,2,3,-1.0
Idaho,Georgia State,2016-12-03,2016-17,1,0,37,12,49,W,25,Regular,12,16,20,80.0,138,3,45,149,3.3,0,4,4,100.0,3,4,75.0,13,0,0,0,-1.0
Navy,Temple,2016-12-03,2016-17,1,0,10,34,44,L,-24,Regular,12,8,15,53.3,138,0,44,168,3.8,1,1,1,100.0,1,1,100.0,4,1,2,3,23.0
Oklahoma,Oklahoma State,2016-12-03,2016-17,1,0,38,20,58,W,18,Regular,12,13,19,68.4,288,3,52,341,6.6,2,5,5,100.0,1,1,100.0,8,1,0,1,11.692307692307692
Virginia,William & Mary,2017-09-02,2017-18,1,0,28,10,38,W,18,Regular,1,27,40,67.5,262,3,32,92,2.9,1,4,4,100.0,0,1,0.0,4,0,0,0,-1.0
Washington State,Montana State,2017-09-02,2017-18,1,0,31,0,31,W,31,Regular,1,40,48,83.3,361,3,25,150,6.0,1,4,4,100.0,1,1,100.0,7,1,0,1,17.153846153846153
Western Kentucky,Eastern Kentucky,2017-09-02,2017-18,1,0,31,17,48,W,14,Regular,1,20,31,64.5,264,1,40,100,2.5,3,4,4,100.0,1,1,100.0,7,1,0,1,-1.0
Army,Fordham,2017-09-01,2017-18,1,0,64,6,70,W,58,Regular,1,0,2,0.0,0,0,47,513,10.9,8,7,8,87.5,1,1,100.0,10,1,0,1,-1.0
Eastern Michigan,Charlotte,2017-09-01,2017-18,1,0,24,7,31,W,17,Regular,1,22,31,71.0,267,0,41,126,3.1,2,3,3,100.0,1,1,100.0,6,1,1,2,-1.0
Florida Atlantic,Navy,2017-09-01,2017-18,1,0,19,42,61,L,-23,Regular,1,21,33,63.6,286,2,24,40,1.7,0,1,1,100.0,2,2,100.0,7,0,2,2,-1.0
Northern Illinois,Boston College,2017-09-01,2017-18,1,0,20,23,43,L,-3,Regular,1,16,39,41.0,203,2,35,164,4.7,0,2,2,100.0,2,3,66.7,8,0,1,1,-1.0
Rutgers,Washington,2017-09-01,2017-18,1,0,14,30,44,L,-16,Regular,1,24,35,68.6,178,2,42,131,3.1,0,2,2,100.0,0,1,0.0,2,0,2,2,-1.0
Wisconsin,Utah State,2017-09-01,2017-18,1,0,59,10,69,W,49,Regular,1,15,23,65.2,244,3,45,234,5.2,4,8,8,100.0,1,1,100.0,11,2,0,2,6.733333333333333
Arizona State,New Mexico State,2017-08-31,2017-18,1,0,37,31,68,W,6,Regular,1,24,30,80.0,321,2,40,79,2.0,2,4,5,80.0,1,2,50.0,7,0,0,0,-1.0
Central Michigan,Rhode Island,2017-08-31,2017-18,1,0,30,27,57,W,3,Regular,1,28,54,51.9,253,1,50,246,4.9,2,1,1,100.0,3,4,75.0,10,3,1,4,-1.0
Cincinnati,Austin Peay,2017-08-31,2017-18,1,0,26,14,40,W,12,Regular,1,17,28,60.7,151,3,29,97,3.3,1,2,3,66.7,0,1,0.0,2,0,0,0,-1.0
Georgia State,Tennessee State,2017-08-31,2017-18,1,0,10,17,27,L,-7,Regular,1,18,23,78.3,224,1,28,51,1.8,0,1,1,100.0,1,1,100.0,4,3,1,4,-1.0
Memphis,Louisiana-Monroe,2017-08-31,2017-18,1,0,37,29,66,W,8,Regular,1,10,25,40.0,97,0,39,319,8.2,4,4,4,100.0,1,1,100.0,7,1,1,2,17.833333333333332
Minnesota,Buffalo,2017-08-31,2017-18,1,0,17,7,24,W,10,Regular,1,19,32,59.4,239,1,51,169,3.3,1,2,2,100.0,1,3,33.3,5,0,1,1,-1.0
Oklahoma State,Tulsa,2017-08-31,2017-18,1,0,59,24,83,W,35,Regular,1,21,26,80.8,308,3,37,332,9.0,4,8,8,100.0,1,2,50.0,11,2,0,2,13.2
Toledo,Elon,2017-08-31,2017-18,1,0,47,13,60,W,34,Regular,1,19,34,55.9,314,0,41,239,5.8,4,5,5,100.0,4,4,100.0,17,1,1,2,-1.0
Central Florida,Florida International,2017-08-31,2017-18,1,0,61,17,78,W,44,Regular,1,26,33,78.8,439,4,45,157,3.5,4,6,7,85.7,1,2,50.0,9,1,1,2,15.6
Utah,North Dakota,2017-08-31,2017-18,1,0,37,16,53,W,21,Regular,1,23,32,71.9,227,1,47,272,5.8,3,4,4,100.0,3,4,75.0,13,0,1,1,22.0
Wake Forest,Presbyterian,2017-08-31,2017-18,1,0,51,7,58,W,44,Regular,1,20,27,74.1,239,5,45,248,5.5,2,6,7,85.7,1,1,100.0,9,0,1,1,-1.0
Brigham Young,Portland State,2017-08-26,2017-18,1,0,20,6,26,W,14,Regular,1,16,27,59.3,194,1,33,173,5.2,1,2,2,100.0,2,3,66.7,8,0,0,0,-1.0
Colorado State,Oregon State,2017-08-26,2017-18,1,0,58,27,85,W,31,Regular,1,26,39,66.7,334,3,43,191,4.4,3,7,7,100.0,3,3,100.0,16,1,1,2,-1.0
San Jose State,South Florida,2017-08-26,2017-18,1,0,22,42,64,L,-20,Regular,1,25,50,50.0,278,3,38,109,2.9,0,1,3,33.3,1,1,100.0,4,0,3,3,-1.0
Virginia Tech,Delaware,2017-09-09,2017-18,1,0,27,0,27,W,27,Regular,2,16,28,57.1,222,2,27,81,3.0,0,3,3,100.0,2,4,50.0,9,1,0,1,17.285714285714285
Washington,Montana,2017-09-09,2017-18,1,0,63,7,70,W,56,Regular,2,24,28,85.7,293,2,37,213,5.8,5,9,9,100.0,0,1,0.0,9,0,1,1,9.066666666666666
Washington State,Boise State,2017-09-09,2017-18,1,0,47,44,91,W,3,Regular,2,49,67,73.1,433,3,27,22,0.8,1,5,5,100.0,2,2,100.0,11,1,2,3,17.153846153846153
West Virginia,East Carolina,2017-09-09,2017-18,1,0,56,20,76,W,36,Regular,2,24,34,70.6,403,5,47,211,4.5,3,8,8,100.0,0,2,0.0,8,0,0,0,22.666666666666668
Wisconsin,Florida Atlantic,2017-09-09,2017-18,1,0,31,14,45,W,17,Regular,2,17,30,56.7,207,1,54,357,6.6,3,4,4,100.0,1,2,50.0,7,1,1,2,6.733333333333333
Purdue,Ohio,2017-09-08,2017-18,1,0,44,21,65,W,23,Regular,2,16,24,66.7,295,4,44,263,6.0,1,5,5,100.0,3,3,100.0,14,0,0,0,-1.0
South Alabama,Oklahoma State,2017-09-08,2017-18,1,0,7,44,51,L,-37,Regular,2,14,24,58.3,134,1,27,41,1.5,0,1,1,100.0,0,1,0.0,1,1,1,2,-1.0
Utah State,Idaho State,2017-09-07,2017-18,1,0,51,13,64,W,38,Regular,2,27,32,84.4,341,2,49,255,5.2,3,6,6,100.0,3,3,100.0,15,1,1,2,-1.0
UCLA,Texas A&M,2017-09-03,2017-18,1,0,45,44,89,W,1,Regular,1,35,59,59.3,491,4,25,63,2.5,2,6,6,100.0,1,1,100.0,9,3,0,3,-1.0
Auburn,Georgia Southern,2017-09-02,2017-18,1,0,41,7,48,W,34,Regular,1,15,26,57.7,184,2,53,351,6.6,3,5,5,100.0,2,4,50.0,11,2,1,3,12.266666666666667
Baylor,Liberty,2017-09-02,2017-18,1,0,45,48,93,L,-3,Regular,1,14,30,46.7,278,3,34,254,7.5,3,6,6,100.0,1,1,100.0,9,0,2,2,-1.0
Boise State,Troy,2017-09-02,2017-18,1,0,24,13,37,W,11,Regular,1,19,32,59.4,210,1,44,147,3.3,1,3,3,100.0,1,1,100.0,6,1,1,2,24.5
Coastal Carolina,Massachusetts,2017-09-02,2017-18,1,0,38,28,66,W,10,Regular,1,10,18,55.6,80,1,47,321,6.8,4,5,5,100.0,1,1,100.0,8,0,0,0,-1.0
Duke,North Carolina Central,2017-09-02,2017-18,1,0,60,7,67,W,53,Regular,1,26,34,76.5,281,3,47,243,5.2,4,7,8,87.5,1,1,100.0,10,0,0,0,-1.0
East Carolina,James Madison,2017-09-02,2017-18,1,0,14,34,48,L,-20,Regular,1,28,53,52.8,292,0,28,75,2.7,2,2,2,100.0,0,1,0.0,2,1,3,4,-1.0
Fresno State,Incarnate Word,2017-09-02,2017-18,1,0,66,0,66,W,66,Regular,1,23,37,62.2,414,4,40,199,5.0,4,8,8,100.0,2,2,100.0,14,0,0,0,-1.0
Georgia,Appalachian State,2017-09-02,2017-18,1,0,31,10,41,W,21,Regular,1,11,20,55.0,147,1,44,221,5.0,3,4,4,100.0,1,1,100.0,7,0,2,2,7.066666666666666
Hawaii,Western Carolina,2017-09-02,2017-18,1,0,41,18,59,W,23,Regular,2,12,24,50.0,154,2,49,299,6.1,3,5,6,83.3,0,1,0.0,5,0,2,2,-1.0
Illinois,Ball State,2017-09-02,2017-18,1,0,24,21,45,W,3,Regular,1,10,19,52.6,145,1,30,71,2.4,2,1,1,100.0,1,2,50.0,4,0,1,1,-1.0
Iowa,Wyoming,2017-09-02,2017-18,1,0,24,3,27,W,21,Regular,1,8,15,53.3,125,3,41,138,3.4,0,3,3,100.0,1,1,100.0,6,3,1,4,-1.0
