School,Opponent,Date,Season,AtHome,NeutralLocation,Score,OppScore,Total,Outcome,Spread,Season.Type,GameNumber,PassCmp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,XPM,XPA,XPPercent,FGM,FGA,FGPercent,KickPts,Fum,Int,TotalTO,SeasonRanking
Cincinnati,Alabama A&M,2015-09-05,2015-16,1,0,52,10,62,W,42,Regular,1,26,38,68.4,340,3,51,296,5.8,4,7,7,100.0,1,1,100.0,10,2,0,2,-1.0
Colorado State,Savannah State,2015-09-05,2015-16,1,0,65,13,78,W,52,Regular,1,27,36,75.0,381,6,33,217,6.6,2,8,9,88.9,1,2,50.0,11,4,1,5,-1.0
East Carolina,Towson,2015-09-05,2015-16,1,0,28,20,48,W,8,Regular,1,29,37,78.4,230,0,34,210,6.2,4,4,4,100.0,0,1,0.0,4,0,0,0,-1.0
Eastern Michigan,Old Dominion,2015-09-05,2015-16,1,0,34,38,72,L,-4,Regular,1,22,36,61.1,192,2,47,252,5.4,2,4,4,100.0,2,2,100.0,10,1,2,3,-1.0
Florida,New Mexico State,2015-09-05,2015-16,1,0,61,13,74,W,48,Regular,1,30,37,81.1,382,4,42,224,5.3,4,7,8,87.5,2,2,100.0,13,1,0,1,13.181818181818182
Florida State,Texas State,2015-09-05,2015-16,1,0,59,16,75,W,43,Regular,1,25,32,78.1,370,5,41,266,6.5,3,8,8,100.0,1,1,100.0,11,1,0,1,10.6
Houston,Tennessee Tech,2015-09-05,2015-16,1,0,52,24,76,W,28,Regular,1,27,38,71.1,355,1,44,272,6.2,6,7,7,100.0,1,1,100.0,10,1,0,1,18.25
Illinois,Kent State,2015-09-05,2015-16,1,0,52,3,55,W,49,Regular,1,14,29,48.3,208,5,36,134,3.7,2,7,7,100.0,1,1,100.0,10,0,1,1,-1.0
Iowa,Illinois State,2015-09-05,2015-16,1,0,31,14,45,W,17,Regular,1,16,25,64.0,221,1,44,210,4.8,3,4,4,100.0,1,1,100.0,7,1,0,1,10.0
Iowa State,Northern Iowa,2015-09-05,2015-16,1,0,31,7,38,W,24,Regular,1,21,29,72.4,233,2,32,77,2.4,1,4,4,100.0,1,3,33.3,7,2,0,2,-1.0
Kansas,South Dakota State,2015-09-05,2015-16,1,0,38,41,79,L,-3,Regular,1,25,40,62.5,291,1,51,285,5.6,3,5,5,100.0,1,1,100.0,8,1,1,2,-1.0
Kansas State,South Dakota,2015-09-05,2015-16,1,0,34,0,34,W,34,Regular,1,9,18,50.0,147,1,40,185,4.6,2,4,4,100.0,2,2,100.0,10,1,0,1,-1.0
Louisiana Tech,Southern,2015-09-05,2015-16,1,0,62,15,77,W,47,Regular,1,21,29,72.4,380,5,32,207,6.5,2,8,8,100.0,2,2,100.0,14,0,2,2,-1.0
Maryland,Richmond,2015-09-05,2015-16,1,0,50,21,71,W,29,Regular,1,12,22,54.5,138,2,45,341,7.6,3,5,6,83.3,3,4,75.0,14,0,1,1,-1.0
Navy,Colgate,2015-09-05,2015-16,1,0,48,10,58,W,38,Regular,1,3,6,50.0,67,0,47,371,7.9,5,6,6,100.0,2,2,100.0,12,1,0,1,20.0
Nebraska,Brigham Young,2015-09-05,2015-16,1,0,28,33,61,L,-5,Regular,1,24,41,58.5,319,3,37,126,3.4,1,4,4,100.0,0,2,0.0,4,1,1,2,-1.0
New Mexico,Mississippi Valley State,2015-09-05,2015-16,1,0,66,0,66,W,66,Regular,1,11,18,61.1,151,0,51,370,7.3,8,9,9,100.0,1,1,100.0,12,0,0,0,-1.0
Northern Illinois,Nevada-Las Vegas,2015-09-05,2015-16,1,0,38,30,68,W,8,Regular,1,21,26,80.8,360,2,42,185,4.4,3,5,5,100.0,1,1,100.0,8,0,0,0,-1.0
Northwestern,Stanford,2015-09-05,2015-16,1,0,16,6,22,W,10,Regular,1,12,25,48.0,105,0,54,225,4.2,1,1,1,100.0,3,4,75.0,10,0,0,0,18.3
Notre Dame,Texas,2015-09-05,2015-16,1,0,38,3,41,W,35,Regular,1,19,23,82.6,313,3,52,214,4.1,2,5,5,100.0,1,2,50.0,8,0,0,0,9.066666666666666
Oklahoma,Akron,2015-09-05,2015-16,1,0,41,3,44,W,38,Regular,1,28,42,66.7,439,3,33,100,3.0,2,5,5,100.0,2,2,100.0,11,1,1,2,12.066666666666666
Oregon,Eastern Washington,2015-09-05,2015-16,1,0,61,42,103,W,19,Regular,1,19,25,76.0,246,2,57,485,8.5,6,7,7,100.0,2,2,100.0,13,1,0,1,14.555555555555555
Pittsburgh,Youngstown State,2015-09-05,2015-16,1,0,45,37,82,W,8,Regular,1,11,18,61.1,133,1,43,325,7.6,4,6,6,100.0,1,2,50.0,9,1,2,3,24.0
San Diego State,San Diego,2015-09-05,2015-16,1,0,37,3,40,W,34,Regular,1,11,23,47.8,139,0,36,166,4.6,1,4,4,100.0,3,3,100.0,13,0,1,1,-1.0
South Florida,Florida A&M,2015-09-05,2015-16,1,0,51,3,54,W,48,Regular,1,20,26,76.9,281,3,46,275,6.0,4,6,6,100.0,1,1,100.0,9,0,1,1,-1.0
Southern Mississippi,Mississippi State,2015-09-05,2015-16,1,0,16,34,50,L,-18,Regular,1,30,44,68.2,311,1,36,102,2.8,0,1,1,100.0,3,3,100.0,10,0,2,2,-1.0
Temple,Penn State,2015-09-05,2015-16,1,0,27,10,37,W,17,Regular,1,16,21,76.2,168,0,43,149,3.5,3,3,3,100.0,2,2,100.0,9,1,0,1,22.714285714285715
Texas Tech,Sam Houston State,2015-09-05,2015-16,1,0,59,45,104,W,14,Regular,1,34,57,59.6,437,4,31,174,5.6,2,8,8,100.0,1,1,100.0,11,0,1,1,-1.0
Tulsa,Florida Atlantic,2015-09-05,2015-16,1,0,47,44,91,W,3,Regular,1,21,35,60.0,424,2,51,194,3.8,4,5,5,100.0,2,3,66.7,11,2,2,4,-1.0
UCLA,Virginia,2015-09-05,2015-16,1,0,34,16,50,W,18,Regular,1,28,37,75.7,351,3,34,152,4.5,1,4,4,100.0,2,3,66.7,10,0,0,0,16.90909090909091
Washington State,Portland State,2015-09-05,2015-16,1,0,17,24,41,L,-7,Regular,1,28,45,62.2,307,2,30,104,3.5,0,2,2,100.0,1,2,50.0,5,1,1,2,21.5
West Virginia,Georgia Southern,2015-09-05,2015-16,1,0,44,0,44,W,44,Regular,1,16,26,61.5,359,2,40,185,4.6,3,5,5,100.0,3,3,100.0,14,0,0,0,21.0
Boise State,Washington,2015-09-04,2015-16,1,0,16,13,29,W,3,Regular,1,17,27,63.0,152,0,53,185,3.5,2,1,2,50.0,1,1,100.0,4,1,1,2,22.5
California,San Diego State,2015-09-12,2015-16,1,0,35,7,42,W,28,Regular,2,17,25,68.0,321,3,36,164,4.6,2,5,5,100.0,0,1,0.0,5,0,1,1,22.0
Central Michigan,Monmouth,2015-09-12,2015-16,1,0,31,10,41,W,21,Regular,2,25,36,69.4,328,3,34,74,2.2,1,4,4,100.0,1,1,100.0,7,0,1,1,-1.0
Cincinnati,Temple,2015-09-12,2015-16,1,0,26,34,60,L,-8,Regular,2,30,52,57.7,427,2,31,130,4.2,1,2,2,100.0,2,3,66.7,8,1,4,5,-1.0
Clemson,Appalachian State,2015-09-12,2015-16,1,0,41,10,51,W,31,Regular,2,21,31,67.7,252,3,44,140,3.2,1,5,5,100.0,2,3,66.7,11,0,2,2,5.933333333333334
Colorado,Massachusetts,2015-09-12,2015-16,1,0,48,14,62,W,34,Regular,2,15,24,62.5,168,1,59,390,6.6,5,6,6,100.0,2,2,100.0,12,0,0,0,-1.0
Colorado State,Minnesota,2015-09-12,2015-16,1,0,20,23,43,L,-3,Regular,2,16,32,50.0,142,1,41,172,4.2,1,2,2,100.0,2,2,100.0,8,2,2,4,-1.0
Connecticut,Army,2015-09-12,2015-16,1,0,22,17,39,W,5,Regular,2,19,25,76.0,270,0,46,145,3.2,2,1,2,50.0,3,3,100.0,10,1,0,1,-1.0
Duke,North Carolina Central,2015-09-12,2015-16,1,0,55,0,55,W,55,Regular,2,19,26,73.1,367,3,59,288,4.9,4,7,7,100.0,2,2,100.0,13,0,0,0,21.0
Florida,East Carolina,2015-09-12,2015-16,1,0,31,24,55,W,7,Regular,2,15,25,60.0,205,2,38,168,4.4,1,4,4,100.0,1,3,33.3,7,1,1,2,13.181818181818182
Florida State,South Florida,2015-09-12,2015-16,1,0,34,14,48,W,20,Regular,2,14,26,53.8,163,1,46,278,6.0,3,4,4,100.0,2,2,100.0,10,0,0,0,10.6
Georgia Southern,Western Michigan,2015-09-12,2015-16,1,0,43,17,60,W,26,Regular,2,1,4,25.0,7,0,52,413,7.9,5,5,5,100.0,2,2,100.0,11,0,0,0,-1.0
Illinois,Western Illinois,2015-09-12,2015-16,1,0,44,0,44,W,44,Regular,2,38,54,70.4,353,2,40,147,3.7,2,5,5,100.0,3,3,100.0,14,3,1,4,-1.0
Indiana,Florida International,2015-09-12,2015-16,1,0,36,22,58,W,14,Regular,2,19,33,57.6,234,1,52,205,3.9,2,3,4,75.0,3,4,75.0,12,0,1,1,-1.0
Iowa State,Iowa,2015-09-12,2015-16,1,0,17,31,48,L,-14,Regular,2,19,35,54.3,247,2,27,63,2.3,0,2,2,100.0,1,1,100.0,5,0,1,1,-1.0
Kansas,Memphis,2015-09-12,2015-16,1,0,23,55,78,L,-32,Regular,2,18,38,47.4,165,0,46,194,4.2,2,2,2,100.0,3,3,100.0,11,0,0,0,-1.0
