"","Conference","MAE"
"2","ACC",10.2931988156364
"3","American",9.75002458782599
"4","Big 12",12.2334663142298
"5","Big Ten",12.661026787461
"6","C-USA",13.4009069430925
"7","Independent",15.0508187446398
"8","MAC",12.4171500433957
"9","Mountain West",9.90255059477907
"10","Pac-12",12.2027231214575
"11","SEC",12.3509169368618
"12","Sun Belt",9.87939595396214
