"","Conference","MAE"
"2","ACC",10.5873354435218
"3","American",10.563751123313
"4","Big 12",14.9692971122576
"5","Big Ten",12.6488390310965
"6","C-USA",11.0944719148821
"7","FBS Independent",35
"8","Independent",13.3686513917852
"9","MAC",13.1154627199358
"10","Mountain West",10.9299798491022
"11","Pac-12",9.37263497296258
"12","SEC",12.3771428276482
"13","Sun Belt",12.4252160318527
