AtHome,Spread,GameNumber,RankDiff,Conference,OppConference,PassYdsDiff,RushAttDiff,RushYdsDiff,XPMDiff,XPADiff,TotalTODiff,EnrollmentDiff
1,-11,1,11.846153846153848,MAC,Big 12,-10.955555555555577,-6.0333333333333385,-44.53333333333335,-1.5222222222222204,-1.8555555555555543,-0.14444444444444438,-3600
1,8,1,0.0,Mountain West,Pac-12,-6.16666666666663,-6.0,-27.083333333333343,-0.75,-0.75,1.4166666666666667,-15500
1,-6,1,20.133333333333333,Big Ten,Big 12,-134.76666666666674,-6.666666666666664,-54.03333333333333,-1.3555555555555552,-1.4555555555555553,0.05555555555555558,37400
1,7,1,0.6428571428571423,Pac-12,Big Ten,-55.4646464646465,5.18181818181818,35.53535353535354,0.4848484848484844,0.4848484848484844,0.505050505050505,-13000
1,-3,1,0.0,Sun Belt,C-USA,187.3055555555555,-15.041666666666664,-55.416666666666686,1.4166666666666663,1.5277777777777777,-0.75,23100
1,-13,1,20.666666666666668,MAC,Big Ten,71.96363636363641,-1.8727272727272748,11.663636363636384,-0.2272727272727271,-0.018181818181817636,0.6000000000000001,-27400
1,3,1,-3.5,Mountain West,Pac-12,65.82307692307685,5.238461538461543,39.38461538461544,0.9384615384615382,1.0923076923076924,-0.4076923076923078,-22400
1,18,1,-9.09090909090909,Pac-12,ACC,61.82727272727274,2.1000000000000014,43.19090909090909,0.5545454545454547,0.4636363636363643,-0.5,21000
1,3,1,0.0,American,C-USA,128.07272727272726,5.045454545454547,7.654545454545456,1.954545454545454,2.1363636363636367,-0.13636363636363644,-26500
1,17,1,-3.1428571428571423,American,Big Ten,12.209090909090918,3.209090909090904,28.890909090909105,0.9181818181818184,0.5545454545454547,-0.26363636363636345,-6600
1,-18,1,3.2,C-USA,SEC,53.41111111111121,3.9222222222222207,20.444444444444454,0.666666666666667,0.9000000000000004,0.5888888888888888,-7700
1,-5,1,4.0,Big Ten,Independent,-40.97692307692307,7.153846153846147,58.40000000000001,-0.3153846153846156,-0.4615384615384617,0.2769230769230766,-7800
1,43,1,-15.4,ACC,Sun Belt,28.55555555555555,-5.5,-5.75,1.6111111111111112,1.166666666666667,-0.7222222222222222,3100
1,8,1,0.0,MAC,Mountain West,-34.02500000000001,5.174999999999997,-5.949999999999988,-0.6000000000000001,-0.5250000000000004,0.675,-10500
1,35,1,-7.0,SEC,C-USA,81.31746031746033,3.3174603174603163,66.57142857142857,3.0476190476190474,2.9365079365079367,-0.507936507936508,2700
1,-4,1,0.0,MAC,C-USA,-33.6888888888889,0.8888888888888857,-11.055555555555545,-0.21111111111111125,-0.4333333333333331,0.7777777777777777,-4700
1,10,1,0.0,C-USA,Big Ten,-23.72727272727272,-0.5606060606060623,28.03030303030303,0.666666666666667,0.666666666666667,-0.18181818181818188,-30200
1,3,2,0.0,C-USA,C-USA,97.14999999999998,2.450000000000003,12.150000000000004,1.3499999999999996,1.3499999999999996,-0.625,7900
1,-24,2,0.0,C-USA,ACC,-108.40000000000003,7.600000000000001,62.20000000000002,-0.7000000000000002,-0.7000000000000002,0.9,13500
1,-3,2,4.5,Big Ten,Pac-12,-198.4,16.68333333333333,90.58333333333331,-1.3166666666666664,-1.0166666666666666,-0.6000000000000001,40300
1,18,2,0.0,American,C-USA,87.125,2.125,-22.875,1.75,1.75,-0.375,-27600
1,-4,2,0.0,SEC,SEC,1.1111111111111145,0.44444444444443576,-39.11111111111109,-1.3888888888888888,-1.3888888888888888,-0.7222222222222221,20900
1,13,2,0.0,ACC,ACC,-92.3363636363636,0.8454545454545439,42.672727272727286,0.7909090909090919,0.7909090909090919,-0.4545454545454546,14800
1,-7,2,12.0,SEC,Big 12,-110.07051282051285,1.9294871794871968,-12.993589743589807,-1.4615384615384617,-1.615384615384616,-0.467948717948718,400
1,-7,2,17.066666666666666,ACC,Independent,-48.17171717171718,-1.2222222222222214,-53.31313131313135,-0.5656565656565657,-0.5858585858585865,0.22222222222222232,12100
1,-7,2,4.25,Sun Belt,SEC,49.27500000000001,6.774999999999999,48.44999999999999,2.7,2.825,0.4750000000000001,-8000
1,27,2,-20.266666666666666,SEC,C-USA,-98.36111111111124,6.555555555555543,68.27777777777774,0.8333333333333339,0.8333333333333339,-0.9999999999999998,16600
1,21,2,0.0,Mountain West,Mountain West,-104.16666666666669,19.966666666666654,162.8555555555557,1.5555555555555545,1.4777777777777787,0.011111111111111072,-28563
1,13,2,0.0,Big Ten,MAC,-46.79797979797982,-4.9090909090909065,-28.64646464646464,-0.7070707070707072,-0.7878787878787876,0.03030303030303028,15100
1,49,2,0.0,Big 12,C-USA,178.79797979797974,0.5252525252525189,73.81818181818181,4.151515151515151,4.131313131313132,0.4141414141414141,13100
1,11,2,-23.73333333333333,MAC,C-USA,-15.672727272727284,8.027272727272724,36.636363636363626,-0.5,-0.5,-0.3181818181818181,21700
1,11,2,-23.73333333333333,Big Ten,C-USA,-15.672727272727284,8.027272727272724,36.636363636363626,-0.5,-0.5,-0.3181818181818181,54900
1,-21,2,0.0,Big Ten,MAC,-243.2142857142857,-5.035714285714286,87.92857142857142,-1.9642857142857133,-1.8571428571428577,1.5714285714285714,18200
1,-19,2,0.0,Mountain West,American,-204.37272727272725,0.1545454545454561,77.64545454545456,-0.5545454545454542,-0.7363636363636368,0.13636363636363644,22000
1,31,2,-20.066666666666666,ACC,Sun Belt,113.6931818181818,-2.375,-64.4659090909091,-0.5,-0.045454545454545865,0.5,5900
