Team,Nickname,City,State,Enrollment,Conference
TCU,Horned Frogs,Fort Worth,Texas,"10,400",Big 12
Temple,Owls,Philadelphia,Pennsylvania,"40,000",American
Tennessee,Volunteers,Knoxville,Tennessee,"28,900",SEC
Texas,Longhorns,Austin,Texas,"51,800",Big 12
Texas A&M,Aggies,College Station,Texas,"69,400",SEC
Texas State,Bobcats,San Marcos,Texas,"38,800",Sun Belt
Texas Tech,Red Raiders,Lubbock,Texas,"38,200",Big 12
Toledo,Rockets,Toledo,Ohio,"23,100",MAC
Troy,Trojans,Troy,Alabama,"18,100",Sun Belt
Tulane,Green Wave,New Orleans,Louisiana,"14,100",American
Tulsa,Golden Hurricane,Tulsa,Oklahoma,"4,300",American
UAB,Blazers,Birmingham,Alabama,"21,900",C-USA
UCF,Knights,Orlando,Florida,"68,600",American
UCLA,Bruins,Los Angeles,California,"45,400",Pac-12
UConn,Huskies,Storrs[n 5],Connecticut,"32,200",American
UMass,Minutemen,Amherst,Massachusetts,"30,600",Independent
UNLV,Rebels,Las Vegas[n 6],Nevada,"30,500",Mountain West
USC,Trojans,Los Angeles,California,"45,700",Pac-12
UTEP,Miners,El Paso,Texas,"25,100",C-USA
UTSA,Roadrunners,San Antonio,Texas,"30,700",C-USA
Utah,Utes,Salt Lake City,Utah,"33,000",Pac-12
Utah State,Aggies,Logan,Utah,"29,400",Mountain West
Vanderbilt,Commodores,Nashville,Tennessee,"13,100",SEC
Virginia,Cavaliers,Charlottesville,Virginia,"24,400",ACC
Virginia Tech,Hokies,Blacksburg,Virginia,"33,400",ACC
Wake Forest,Demon Deacons,Winston-Salem,North Carolina,"8,100",ACC
Washington,Huskies,Seattle,Washington,"47,900",Pac-12
Washington State,Cougars,Pullman,Washington,"30,600",Pac-12
West Virginia,Mountaineers,Morgantown,West Virginia,"30,000",Big 12
Western Kentucky,Hilltoppers,Bowling Green,Kentucky,"20,300",C-USA
Western Michigan,Broncos,Kalamazoo,Michigan,"22,900",MAC
Wisconsin,Badgers,Madison,Wisconsin,"44,400",Big Ten
Wyoming,Cowboys,Laramie,Wyoming,"12,400",Mountain West
