School,Opponent,Date,Season,AtHome,NeutralLocation,Score,OppScore,Total,Outcome,Spread,Season.Type,GameNumber,PassCmp,PassAtt,PassPct,PassYds,PassTD,RushAtt,RushYds,RushAvg,RushTD,XPM,XPA,XPPercent,FGM,FGA,FGPercent,KickPts,Fum,Int,TotalTO,SeasonRanking,OppSeasonRanking,RankDiff,OppPassCmp,OppPassAtt,OppPassPct,OppPassYds,OppPassTD,OppRushAtt,OppRushYds,OppRushAvg,OppRushTD,OppXPM,OppXPA,OppXPPercent,OppFGM,OppFGA,OppFGPercent,OppKickPts,OppFum,OppInt,OppTotalTO
Nevada-Las Vegas,San Jose State,2015-10-10,2015-16,1,0,27,33,60,L,-6,Regular,6,15,30,50.0,217,2,48,186,3.9,1,3,3,100.0,2,3,66.7,9,0,2,2,26.0,26.0,0.0,30.0,48.0,62.5,329.0,2.0,24.0,115.0,4.8,2.0,3.0,3.0,100.0,2.0,2.0,100.0,9.0,1.0,1.0,2.0
Utah,California,2015-10-10,2015-16,1,0,30,24,54,W,6,Regular,5,16,26,61.5,170,1,51,265,5.2,2,3,3,100.0,3,4,75.0,12,1,2,3,16.142857142857142,22.0,-5.857142857142858,25.0,47.0,53.2,340.0,2.0,28.0,127.0,4.5,1.0,3.0,3.0,100.0,1.0,2.0,50.0,6.0,1.0,5.0,6.0
Texas-San Antonio,Louisiana Tech,2015-10-10,2015-16,1,0,31,34,65,L,-3,Regular,6,18,27,66.7,227,4,39,73,1.9,0,4,4,100.0,1,1,100.0,7,0,2,2,26.0,26.0,0.0,28.0,44.0,63.6,351.0,1.0,31.0,93.0,3.0,2.0,4.0,4.0,100.0,2.0,2.0,100.0,10.0,0.0,2.0,2.0
West Virginia,Oklahoma State,2015-10-10,2015-16,1,0,26,33,59,L,-7,Regular,5,18,37,48.6,188,1,61,255,4.2,2,3,3,100.0,1,1,100.0,6,3,1,4,21.0,14.153846153846153,6.846153846153847,22.0,43.0,51.2,228.0,1.0,38.0,134.0,3.5,2.0,3.0,3.0,100.0,2.0,2.0,100.0,9.0,0.0,3.0,3.0
Western Michigan,Central Michigan,2015-10-10,2015-16,1,0,41,39,80,W,2,Regular,5,15,22,68.2,262,4,41,215,5.2,1,5,5,100.0,2,3,66.7,11,1,0,1,26.0,26.0,0.0,23.0,32.0,71.9,321.0,4.0,31.0,161.0,5.2,1.0,4.0,4.0,100.0,1.0,1.0,100.0,7.0,1.0,1.0,2.0
Marshall,Southern Mississippi,2015-10-09,2015-16,1,0,31,10,41,W,21,Regular,6,11,21,52.4,163,2,35,114,3.3,1,4,4,100.0,1,1,100.0,7,0,1,1,26.0,26.0,0.0,29.0,58.0,50.0,314.0,1.0,35.0,125.0,3.6,0.0,1.0,1.0,100.0,1.0,2.0,50.0,4.0,4.0,1.0,5.0
Appalachian State,Wyoming,2015-10-03,2015-16,1,0,31,13,44,W,18,Regular,4,3,12,25.0,65,1,34,249,7.3,2,4,4,100.0,1,1,100.0,7,0,1,1,26.0,26.0,0.0,14.0,19.0,73.7,155.0,1.0,51.0,218.0,4.3,1.0,1.0,2.0,50.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0
Ball State,Toledo,2015-10-03,2015-16,1,0,10,24,34,L,-14,Regular,5,23,37,62.2,236,1,30,26,0.9,0,1,1,100.0,1,2,50.0,4,1,0,1,26.0,21.25,4.75,16.0,22.0,72.7,164.0,2.0,48.0,280.0,5.8,1.0,3.0,3.0,100.0,1.0,1.0,100.0,6.0,0.0,2.0,2.0
Buffalo,Bowling Green State,2015-10-03,2015-16,1,0,22,28,50,L,-6,Regular,5,35,59,59.3,348,1,37,152,4.1,1,1,2,50.0,3,3,100.0,10,0,1,1,26.0,26.0,0.0,23.0,29.0,79.3,324.0,1.0,42.0,212.0,5.0,3.0,4.0,4.0,100.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0
Central Michigan,Northern Illinois,2015-10-03,2015-16,1,0,29,19,48,W,10,Regular,5,16,32,50.0,182,2,34,93,2.7,1,2,2,100.0,3,4,75.0,11,0,1,1,26.0,26.0,0.0,12.0,30.0,40.0,105.0,0.0,59.0,211.0,3.6,2.0,1.0,1.0,100.0,2.0,3.0,66.7,7.0,3.0,1.0,4.0
Clemson,Notre Dame,2015-10-03,2015-16,1,0,24,22,46,W,2,Regular,4,11,22,50.0,97,2,42,199,4.7,1,3,3,100.0,1,2,50.0,6,0,1,1,5.933333333333334,8.933333333333334,-3.0,19.0,35.0,54.3,321.0,2.0,33.0,116.0,3.5,1.0,1.0,1.0,100.0,1.0,1.0,100.0,4.0,3.0,1.0,4.0
